TAIR ENTREZID
AT1G05220 839258
AT1G05230 839256
AT1G05240 839237
AT1G05250 838206
AT1G05260 837028
AT1G05270 837027
AT1G05280 837026
AT1G05290 837025
AT1G05291 6240483
AT1G05300 837029
AT1G05310 837030
AT1G05320 837031
AT1G05330 837032
AT1G05340 837033
AT1G05350 837034
AT1G05360 837035
AT1G05370 837038
AT1G05380 837039
AT1G05385 837040
AT1G05400 837041
AT1G05410 837042
AT1G05420 837043
AT1G05430 837044
AT1G05440 837045
AT1G05450 837046
AT1G05460 837047
AT1G05470 837048
AT1G05490 837051
AT1G05500 837052
AT1G05510 837053
AT1G05520 837054
AT1G05530 837055
AT1G05540 837056
AT1G05550 837057
AT1G05560 837058
AT1G05570 837059
AT1G05575 837061
AT1G05577 837062
AT1G05580 837063
AT1G05590 837064
AT1G05600 837065
AT1G05610 837066
AT1G05615 837067
AT1G05620 837068
AT1G05630 837069
AT1G05640 837070
AT1G05650 837072
AT1G05660 837073
AT1G05670 837074
AT1G05675 10723139
AT1G05680 837075
AT1G05690 837076
AT1G05700 837077
AT1G05710 837078
AT1G05720 837079
AT1G05730 837080
AT1G05740 837081
AT1G05750 837083
AT1G05760 837084
AT1G05770 837085
AT1G05780 837086
AT1G05783 NA
AT1G05785 837087
AT1G05790 837088
AT1G05800 837089
AT1G05805 837090
AT1G05810 837091
AT1G05820 837092
AT1G05830 837093
AT1G05835 5007665
AT1G05840 837094
AT1G05850 837095
AT1G05860 837096
AT1G05870 837097
AT1G05880 837098
AT1G05890 837099
AT1G05894 3766662
AT1G05900 837100
AT1G05910 837101
AT1G05920 837102
AT1G05930 837103
AT1G05940 837104
AT1G05950 837105
AT1G05960 837106
AT1G05970 837107
AT1G05990 837108
AT1G06000 837109
AT1G06010 837110
AT1G06020 837111
AT1G06030 837112
AT1G06040 837113
AT1G06045 NA
AT1G06050 837114
AT1G06060 837115
AT1G06070 837116
AT1G06080 837117
AT1G06090 837118
AT1G06100 837119
AT1G06110 837120
AT1G06120 837121
AT1G06130 837122
AT1G06135 2745743
AT1G06137 6240721
AT1G06140 837123
AT1G06143 NA
AT1G06150 6241227
AT1G06148 5007666
AT1G06160 837125
AT1G06170 837126
AT1G06180 837127
AT1G06190 837128
AT1G06200 837129
AT1G06210 837130
AT1G06220 837131
AT1G06225 837132
AT1G06230 837133
AT1G06240 837134
AT1G06250 837135
AT1G06260 837137
AT1G06270 837138
AT1G06280 837139
AT1G06290 837140
AT1G06310 837141
AT1G06320 837143
AT1G06330 837144
AT1G06340 837145
AT1G06350 837146
AT1G06360 837147
AT1G06380 837149
AT1G06390 837150
AT1G06400 837151
AT1G06410 837152
AT1G06420 837153
AT1G06430 837154
AT1G06440 837156
AT1G06450 837157
AT1G06460 837158
AT1G06470 837159
AT1G06475 2745744
AT1G06490 837160
AT1G06500 837161
AT1G06515 5007668
AT1G06510 837162
AT1G06520 837163
AT1G06530 837164
AT1G06540 837165
AT1G06550 837166
AT1G06560 837167
AT1G06570 837168
AT1G06580 837169
AT1G06590 837170
AT1G06620 837171
AT1G06630 837172
AT1G06640 837173
AT1G06645 3766668
AT1G06650 837175
AT1G06660 837176
AT1G06670 837177
AT1G06680 837178
AT1G06690 837179
AT1G06700 837180
AT1G06710 837181
AT1G06720 837182
AT1G06730 837184
AT1G06740 NA
AT1G06750 837186
AT1G06760 837187
AT1G06770 837188
AT1G06780 837189
AT1G06790 837190
AT1G06800 837191
AT1G06810 837192
AT1G06820 837193
AT1G06830 837195
AT1G06840 837196
AT1G06850 837197
AT1G06870 837198
AT1G06890 837199
AT1G06900 837200
AT1G06910 837201
AT1G06920 837202
AT1G06923 3766672
AT1G06925 837203
AT1G06930 837204
AT1G06950 837205
AT1G06960 837206
AT1G06970 837207
AT1G06980 837208
AT1G06990 837209
AT1G07000 837210
AT1G07010 837211
AT1G07020 837212
AT1G07025 837213
AT1G07030 837214
AT1G07040 837215
AT1G07050 837216
AT1G07060 837217
AT1G07070 837218
AT1G07080 837219
AT1G07090 837220
AT1G07110 837221
AT1G07120 837222
AT1G07130 837223
AT1G07135 837224
AT1G07140 837225
AT1G07150 837226
AT1G07160 837227
AT1G07170 837228
AT1G07175 6241425
AT1G07180 837229
AT1G07190 837230
AT1G07200 837231
AT1G07210 837232
AT1G07220 837233
AT1G07230 837234
AT1G07240 837235
AT1G07250 837236
AT1G07260 837237
AT1G07270 837238
AT1G07280 837239
AT1G07290 837240
AT1G07300 837241
AT1G07310 837242
AT1G07320 837243
AT1G07330 837244
AT1G07340 837245
AT1G07350 837246
AT1G07360 837248
AT1G07370 837249
AT1G07380 837250
AT1G07390 837251
AT1G07400 837252
AT1G07410 837253
